,smiles,min_dist_all,natoms
768,C=CONC,5.0,5
769,C=COONC,7.0,6
770,C=CON(C)O,7.0,6
771,C=C(O)ONC,5.0,6
772,C=C1ON(C)O1,6.0,6
773,C=CNC,3.0,4
774,C=CN(C)O,5.0,5
775,C=CN(C)OO,8.0,6
776,C=C(O)NC,5.0,5
777,C=C(NC)OO,7.0,6
778,C=C1ON1C,6.0,5
779,C=C(O)N(C)O,7.0,6
780,C=C1OON1C,8.0,6
781,C=C=NC,4.0,4
782,CNOC=CO,7.0,6
783,CN1OC=CO1,8.0,6
784,CNOC1=CO1,6.0,6
785,CNOC=C=O,6.0,6
786,CNC=CO,5.0,5
787,CNC=COO,7.0,6
788,Cn1cco1,6.0,5
789,CN(O)C=CO,7.0,6
790,CN1C=COO1,8.0,6
791,CNC1=CO1,6.0,5
792,CN(O)C1=CO1,8.0,6
793,CNC(O)=CO,7.0,6
794,CNc1coo1,8.0,6
795,Cn1occ1O,8.0,6
796,CN1OC1=CO,8.0,6
797,CN=C=CO,6.0,5
798,CN=C=COO,8.0,6
799,CNC=C=O,5.0,5
800,CN(O)C=C=O,6.0,6
801,CNC(O)=C=O,6.0,6
802,CN1OC1=C=O,7.0,6
803,CN=C=C=O,6.0,5
804,CNC=C(O)O,5.0,6
805,CNC=C1OO1,6.0,6
806,Cn1cc(O)o1,6.0,6
807,CNC1=C(O)O1,6.0,6
808,Cn1oc2c1O2,7.0,6
809,CN=C=C(O)O,6.0,6
810,CN=C=C1OO1,7.0,6
811,CN1C=C1,4.0,4
812,CN1C=C1O,6.0,5
813,CN1C=C1OO,8.0,6
814,Cn1c2oc1=2,7.0,5
815,CN1C(O)=C1O,8.0,6
816,CN1c2ooc21,9.0,6
817,C#CONC,6.0,5
818,C#COONC,8.0,6
819,C#CON(C)O,8.0,6
820,C#CNC,4.0,4
821,C#CN(C)O,6.0,5
822,C#CN(C)OO,9.0,6
823,CNOC#CO,8.0,6
824,CN1OC#CO1,9.0,6
825,CNC#CO,6.0,5
826,CNC#COO,8.0,6
827,Cn1c#co1,7.0,5
828,CN(O)C#CO,8.0,6
829,CN1C#COO1,9.0,6
830,CN1C#C1,5.0,4
831,OCN1COC1,9.0,6
832,O=CN1COC1,8.0,6
833,C1OC2OCN12,8.0,6
834,CCOCN,5.0,5
835,CCOCNO,6.0,6
836,CCOCN=O,7.0,6
837,CCOOCN,6.0,6
838,CCONCO,6.0,6
839,CCON1CO1,7.0,6
840,CC(O)OCN,4.0,6
841,CC1OCNO1,5.0,6
842,CC(=O)OCN,3.0,6
843,CCNCO,5.0,5
844,CCNCOO,8.0,6
845,CCN1CO1,6.0,5
846,CCN(O)CO,8.0,6
847,CCN1COO1,9.0,6
848,CC1NCO1,6.0,5
849,CC1OCN1O,7.0,6
850,CC(O)NCO,6.0,6
851,CC1NCOO1,7.0,6
852,CC(O)N1CO1,7.0,6
853,CC1ON1CO,7.0,6
